Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.01     0.01  2220000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator++()
 20.00      0.02     0.01     1781     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
 20.00      0.03     0.01        3     3.33     3.33  IOPerformanceAnalyzer::readDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
 20.00      0.04     0.01        3     3.33     5.00  IOPerformanceAnalyzer::writeDataUnbuffered(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<int, std::allocator<int> > const&)
 20.00      0.05     0.01                             _init
  0.00      0.05     0.00  4440108     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.05     0.00  4440012     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.05     0.00  3330000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.05     0.00  3330000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.05     0.00  2220216     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.05     0.00  2220006     0.00     0.00  bool __gnu_cxx::operator!=<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.05     0.00  2220000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.05     0.00  2220000     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      0.05     0.00  2220000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
