Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 24.41      0.31     0.31       12     0.03     0.10  DataProcessor::inefficientSort()
 22.44      0.59     0.28 912418689     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 21.26      0.86     0.27 152086009     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
 18.50      1.10     0.23 304649226     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  4.33      1.16     0.06 457216409     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  3.54      1.20     0.04   582000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  2.36      1.23     0.03      236     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.79      1.24     0.01 11731421     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.79      1.25     0.01   130000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.79      1.26     0.01      951     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.79      1.27     0.01        6     0.00     0.00  CacheAnalyzer::cacheUnfriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  0.00      1.27     0.00  7415022     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.27     0.00  4753012     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      1.27     0.00  4383110     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      1.27     0.00  3617445     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      1.27     0.00  3166053     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.27     0.00  1760088     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      1.27     0.00  1760088     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_S_is_eof(int)
  0.00      1.27     0.00  1600997     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      1.27     0.00  1164000     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      1.27     0.00   996000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      1.27     0.00   880044     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      1.27     0.00   730331     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.27     0.00   586704     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
  0.00      1.27     0.00   582001     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      1.27     0.00   582000     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
