# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'task-clock:ppp'
# Event count (approx.): 2626500000
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    41.10%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] DataProcessor::inefficientSort()
    24.06%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<int, std::allocator<int> >::operator[](unsigned long)
    12.95%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<int, std::allocator<int> >::size() const
     7.27%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::remove_reference<int&>::type&& std::move<int&>(int&)
     7.16%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
     0.58%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad479aa2
     0.56%  Mod3ProfilingPe  libc.so.6                 [.] __GI___libc_write
     0.26%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
     0.20%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
     0.19%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
     0.18%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
     0.15%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
     0.13%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] CacheAnalyzer::cacheFriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
     0.13%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
     0.12%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] CacheAnalyzer::cacheUnfriendlyMatrixSum(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
     0.12%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
     0.11%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
     0.10%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
     0.10%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
     0.09%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
     0.09%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad4926a1
     0.08%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     0.08%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::ostream& std::ostream::_M_insert<long>(long)
     0.07%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
     0.07%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.06%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] DataProcessor::optimizedStatistics()
     0.06%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<int, std::allocator<int> >::push_back(int&&)
     0.06%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_filebuf<char, std::char_traits<char> >::sync()
     0.06%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::istreambuf_iterator<char, std::char_traits<char> > std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::_M_extract_int<long>(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, long&) const
     0.06%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::ostream::sentry::sentry(std::ostream&)
     0.06%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
     0.06%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6aa05d
     0.06%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad46654a
     0.06%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffc0428b70
     0.05%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::char_traits<char>::assign(char&, char const&)
     0.05%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::_S_is_eof(int)
     0.05%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Val_less_iter)
     0.05%  Mod3ProfilingPe  libc.so.6                 [.] __memmove_avx_unaligned_erms
     0.05%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::__basic_file<char>::fd()
     0.05%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::codecvt<char, char, __mbstate_t>::do_always_noconv() const
     0.05%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad492da7
     0.04%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] DataProcessor::computeStatistics()
     0.04%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] unsigned int std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
     0.04%  Mod3ProfilingPe  libc.so.6                 [.] __strlen_avx2
     0.04%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_filebuf<char, std::char_traits<char> >::_M_convert_to_external(char*, long)
     0.04%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.04%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac288fa0
     0.04%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608f47
     0.04%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad48dc65
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] DataProcessor::loadData(int)
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__min_element<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] bool std::operator!=<char, std::char_traits<char> >(std::istreambuf_iterator<char, std::char_traits<char> > const&, std::istreambuf_iterator<char, std::char_traits<char> > const&)
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::char_traits<char>::eq_int_type(int const&, int const&)
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::_M_at_eof() const
     0.03%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
     0.03%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
     0.03%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::istream::sentry::sentry(std::istream&, bool)
     0.03%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::ostream::flush()
     0.03%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac295d24
     0.03%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6a0865
     0.03%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6aed00
     0.03%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad46632c
     0.03%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffad483d4d
     0.02%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
     0.02%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
     0.02%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::equal(std::istreambuf_iterator<char, std::char_traits<char> > const&) const
     0.02%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::__basic_file<char>::xsputn(char const*, long)
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_ostream<char, std::char_traits<char> >& std::operator<< <std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*)
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_streambuf<char, std::char_traits<char> >::sbumpc()
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_streambuf<char, std::char_traits<char> >::sgetc()
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
     0.02%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::ostream::operator<<(int)
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac15fe90
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac24bc84
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac285469
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac288fc1
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac295d10
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac30d2e9
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c866
     0.02%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac607c20
